State,Year,polling.avg,frac.polls.R,Republican,electoral.votes
Alabama,2004,18,1,1,9
Alabama,2008,25,1,1,9
Alaska,2004,21,1,1,3
Alaska,2008,18,1,1,3
Arizona,2004,15,1,1,11
Arizona,2008,3,1,1,11
Arizona,2012,5,0.833333333,1,11
Arkansas,2004,5,1,1,6
Arkansas,2008,7,1,1,6
Arkansas,2012,21,1,1,6
California,2004,-11,0,0,55
California,2008,-24,0,0,55
California,2012,-14,0,0,55
Colorado,2004,3,1,1,9
Colorado,2008,-1,0,0,9
Colorado,2012,-2,0.307692308,0,9
Connecticut,2004,-33,0,0,7
Connecticut,2008,-16,0,0,7
Connecticut,2012,-13,0,0,7
Delaware,2004,-16,0,0,3
Delaware,2008,-30,0,0,3
Florida,2004,1,0.5,1,29
Florida,2008,-3,0.157894737,0,29
Florida,2012,0,0.666666667,0,29
Georgia,2004,12,1,1,16
Georgia,2008,7,1,1,16
Georgia,2012,8,1,1,16
Hawaii,2004,4,0.75,0,4
Hawaii,2008,-24,0,0,4
Hawaii,2012,-24,0,0,4
Idaho,2004,22,1,1,4
Idaho,2008,30,1,1,4
Idaho,2012,24,1,1,4
Illinois,2004,-12,0,0,20
Illinois,2008,-33,0,0,20
Illinois,2012,-16,0,0,20
Indiana,2004,19,1,1,11
Indiana,2008,0,0.625,0,11
Indiana,2012,18,1,1,11
Iowa,2004,-3,0.666666667,1,6
Iowa,2008,-15,0,0,6
Iowa,2012,-2,0.4,0,6
Kansas,2004,23,1,1,6
Kansas,2008,21,1,1,6
Kansas,2012,9,1,1,6
Kentucky,2004,21,1,1,8
Kentucky,2008,16,1,1,8
Kentucky,2012,14,1,1,8
Louisiana,2004,7,1,1,8
Louisiana,2008,21,1,1,8
Louisiana,2012,21,1,1,8
Maine,2004,-8,0,0,4
Maine,2008,-15,0,0,4
Maine,2012,-7,0,0,4
Maryland,2004,-11,0,0,10
Maryland,2008,-29,0,0,10
Maryland,2012,-29,0,0,10
Massachusetts,2004,-29,0,0,12
Massachusetts,2008,-17,0,0,12
Massachusetts,2012,-30,0,0,12
Michigan,2004,-29,0,0,17
Michigan,2008,-11,0.133333333,0,17
Michigan,2012,-11,0.083333333,0,17
Minnesota,2004,-1,0.181818182,0,10
Minnesota,2008,-3,0,0,10
Minnesota,2012,-11,0.142857143,0,10
Mississippi,2004,25,1,1,6
Mississippi,2008,7,1,1,6
Mississippi,2012,8,1,1,6
Missouri,2004,5,1,1,10
Missouri,2008,0,0.833333333,1,10
Missouri,2012,7,1,1,10
Montana,2004,21,1,1,3
Montana,2008,8,0.75,1,3
Montana,2012,12,1,1,3
Nebraska,2004,30,1,1,4
Nebraska,2008,22,1,1,4
Nebraska,2012,25,1,1,4
Nevada,2004,8,1,1,6
Nevada,2008,0,0.090909091,0,6
Nevada,2012,-4,0,0,6
New Hampshire,2004,-1,0.222222222,0,4
New Hampshire,2008,-11,0,0,4
New Hampshire,2012,-11,0,0,4
New Jersey,2004,-12,0,0,14
New Jersey,2008,-10,0,0,14
New Jersey,2012,-14,0,0,14
New Mexico,2004,0,0.625,1,5
New Mexico,2008,-7,0,0,5
New Mexico,2012,-7,0,0,5
New York,2004,-18,0,0,29
New York,2008,-33,0,0,29
New York,2012,-29,0,0,29
North Carolina,2004,8,1,1,15
North Carolina,2008,1,0.333333333,0,15
North Carolina,2012,5,0.666666667,1,15
North Dakota,2004,25,1,1,3
North Dakota,2008,5,0.5,1,3
North Dakota,2012,21,1,1,3
Ohio,2004,2,0.6,1,18
Ohio,2008,-2,0.1,0,18
Ohio,2012,-5,0,0,18
Oklahoma,2004,30,1,1,7
Oklahoma,2008,24,1,1,7
Oklahoma,2012,24,1,1,7
Oregon,2004,-3,0.1,0,7
Oregon,2008,-19,0,0,7
Oregon,2012,-7,0,0,7
Pennsylvania,2004,-1,0.125,0,20
Pennsylvania,2008,-9,0,0,20
Pennsylvania,2012,0,0,0,20
Rhode Island,2004,-13,0,0,4
Rhode Island,2008,-29,0,0,4
Rhode Island,2012,-17,0,0,4
South Carolina,2004,18,1,1,9
South Carolina,2008,8,1,1,9
South Carolina,2012,23,1,1,9
South Dakota,2004,8,1,1,3
South Dakota,2008,7,1,1,3
South Dakota,2012,16,1,1,3
Tennessee,2004,18,1,1,11
Tennessee,2008,8,1,1,11
Tennessee,2012,24,1,1,11
Texas,2004,22,1,1,38
Texas,2008,7,1,1,38
Texas,2012,12,1,1,38
Utah,2004,18,1,1,6
Utah,2008,30,1,1,6
Utah,2012,22,1,1,6
Vermont,2004,-16,0,0,3
Vermont,2008,-24,0,0,3
Virginia,2004,4,1,1,13
Virginia,2008,-4,0,0,13
Virginia,2012,-2,0.333333333,0,13
Washington,2004,-4,0,0,12
Washington,2008,-16,0,0,12
Washington,2012,-14,0,0,12
West Virginia,2004,5,1,1,5
West Virginia,2008,15,1,1,5
West Virginia,2012,19,1,1,5
Wisconsin,2004,-5,0.533333333,0,10
Wisconsin,2008,-16,0,0,10
Wisconsin,2012,-4,0,0,10
Wyoming,2004,30,1,1,3
Wyoming,2008,21,1,1,3